milk,Cream,Ice Cream,Cheese,Beef,Pork,Red meat (other),Chicken,Sausages,Fish,Stew,frozen meal,egg,egg omelet,egg omelet substitute,Beans,Nuts,Seeds,Bread,Biscuits,Cakes,Crackers,Pancakes,Pasta,Cereal,Mexican Food,Meat substitute,orange,dried fruit,fruits,fruit juice,potato,greens,carrots,tomato,raw vegetables,puerto rican style food,smoothie,butter,oil,salad dressing,desserts,coffee,shakes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39947727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16.00000008,0
-180.4395062,-83.2,-269.2083333,-124.8,-119.1731576,-227.3333333,-253.9506173,-156.3981043,-107.1428571,-81.02614897,-378.6086956,-180.6172546,-71,-110.1388889,-65.29281496,-15.75000001,-101.8575,-172.5,-112.8787879,-138.3693182,-106.3478468,-123,-366.3890574,-248.3435583,-202.5609756,-683.5714285,-334.2465753,-106.5806451,-90.57029703,-95,-129.6380952,-1150.609091,-28.01142857,-128.16,-123,-49.2,-521.3675214,-192.4407407,-103.6825397,-123.9259259,-52.96931923,-903.9994404,-31.97311824,-650.9195574
-23.89995067,-11.2,-30.68,-1.024,0,-13.67333335,-3.651851852,0,-0.7142857,-1.081022187,-35.64521744,-16.55695655,-0.3575,-1.107037028,-1.294598917,-1.386000003,-12.2259375,-7.135416667,-12.15151515,-20.94193184,-14.84050018,-23.72000001,-50.53003144,-47.87631904,-49.0573171,-105.7178571,-61.8630137,-24.53529962,-22.27580198,-25.12999999,-24.19911111,-152.9001817,-2.266971434,-27.03744,-33.702,-11.5,-20.51282051,-29.54137963,-0.405714292,0,-1.020673309,-143.375,-8.07258072,-33.83044258
-4.111851888,-0.256,-4.55,-11.456,-19.00539245,-21.01999998,-9.27654321,-31.71406007,-16.8571429,-14.85142631,-18.8817391,-17.10803037,-6.2325,-6.806018514,-6.446727362,-2.299499997,-3.54628125,-5.73125,-1.113636375,-3.146022705,-1.439727364,-3.26000001,-10.58242789,-4.57815952,-2.173170725,-18.19714288,-11.28767123,-1.653087488,-0.696118812,-0.470000076,-6.529333333,-12.64663626,-1.2616,-0.71136,-1.2792,-1.12,-23.78739316,-17.65406481,-0.090158725,0,-0.162226221,-10.0055556,-0.10893648,-88.92591208
-7.955604995,-4.352,-14.3,-8.256,-4.38526062,-9.300000024,-22.2154321,-2.25908375,-4.0357143,-1.494572108,-18.06608692,-5.051884854,-4.72,-8.506111084,-3.887549213,-0.157500013,-4.7628,-14.7625,-6.65151515,-4.618806836,-4.891451761,-1.68999999,-13.35061497,-3.541595024,-0.92560974,-20.79,-7.050228311,-0.4785254,-0.333089109,-0.310000054,-1.538793651,-54.34363626,-1.711085698,-2.28384,-0.1476,-0.288,-39.40705128,-1.611583333,-11.08952381,-14,-5.360224729,-31.4111112,-0.018,-17.78394139
-16.62814811,-10.56,-27.58708329,-0.256,0,-1.199999976,-1.741975309,0,0,-0.044453249,-7.34086962,-4.435581893,-0.1825,-0.965833313,-1.287093996,-0.125999987,-4.2292125,-0.810416667,-6.424242425,-3.413295459,-9.405983554,-0.24999999,-10.25812145,-0.086380448,-19.49146342,-7.802142876,-0.493150685,-19.81529962,-18.78772277,-18.91000002,-17.49060317,-1.107,-0.777371434,-20.85696,-26.1744,-5.69,-11.46367521,-16.98311111,0,0,-0.698064346,-100.5846322,-6.59354832,-5.925912081
-1.084444458,-0.64,-0.92083329,0,0,-0.86666664,0,0,0,-0.074088748,-2.6782609,-1.012176396,0,0,0,-0.314999997,-1.27575,-3.291666667,-0.3030303,-0.751704541,-0.657494362,-1.59999999,-3.050024819,-0.647852832,-1.2073171,-2.592857124,-8.949771689,-0.435023048,-0.673663366,-4.399999968,-2.793015873,-14.08909084,-0.564571434,-1.296,0,-3.36,-5.876068376,-3.60287037,0,0,-0.036869596,-4,0,0
-4.833609866,-0.8448,-8.827,-5.2512,-1.718274415,-2.067333324,-8.91345679,-0.64297002,-1.2285714,-0.323296355,-8.11634782,-1.306157406,-1.5515,-2.225935201,-1.110728346,-0.022050006,-0.94516875,-1.547083333,-3.1621212,-0.907056836,-1.578830098,-0.252,-3.935304175,-0.749349744,-0.248170725,-5.1975,-1.035616438,-0.056552916,-0.081213861,-0.05100004,-0.784152381,-8.621181684,-0.453394302,-0.648,-0.01476,-0.044,-9.867521368,-0.78055,-6.437333329,-1.933037037,-0.838045911,-14.698889,-0.0008328,0
-28.01481486,0,-57.41666671,-22.4,-52.96584781,-81.33333331,-48.27160494,-86.88783565,-39.2857143,-81.49762282,-54.78260872,-51.73346022,-184.5,-188.0833333,-3.001968504,0,0,0,-1.136363625,-17.26136362,-6.446482544,0,-85.70955822,0,0,-11.78571438,0,0,0,0,-5.26984127,0,-1.085714302,-1.728,0,0,-72.64957265,-6.040740741,-31.55555555,0,-3.133915639,-12.5,0,0
-0.560296346,-0.192,-0.11916671,-0.256,-1.550029975,-1.373333304,-1.101851852,-0.69510265,-0.6071429,-0.456656101,-3.15304346,-1.369812055,-0.87,-0.89240743,-1.279589075,-0.409499987,-0.6247125,-1.127083333,-0.3409091,-1.222215918,-1.04826651,-0.48,-2.107991837,-2.051533792,-14.68902441,-3.747857058,-4.03652968,-0.4785254,-0.063623762,-0.219999962,-0.53752381,-2.985545421,-0.8512,-0.38016,-0.4428,-0.36,-3.376068376,-1.434675926,0,-0.077777778,-0.038098582,-1.2805556,-0.06408552,-37.34875897
-98.80493825,-19.2,-104,-441.6,-251.5877771,-464,-861.5432099,-512.6382306,-946.4285714,-573.177496,-878.9565218,-1574.271687,-214.75,-224.2314815,-329.8412894,-1556.1,-106.565625,-138.75,-76.13636363,-239.7102273,-76.92121088,-154,-933.1531631,-453.4969326,-257.5609756,-1249.285714,-281.2785388,-2.17511524,-46.03366337,-2.000000002,-77.46666667,-774.9,-90.1142857,-101.952,-1116.84,-82.8,-1670.940171,-75.94074074,-81.14285714,-0.518518519,-123.2058991,-139.7222222,-29.62460712,-2014.810108
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39947727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-16.00000008,0
